Date,indoor_interactions,outdoor_interactions,all_interactions
2020-03-02,685724.9583333331,482541.625,1168266.583333333
2020-03-03,646108.4464285712,471608.3452380952,1117716.7916666665
2020-03-04,625221.5436507933,447730.1646825395,1072951.7083333328
2020-03-05,665747.2301587302,478777.76984126976,1144525.0
2020-03-06,713956.2936507934,498722.3035714286,1212678.597222222
2020-03-07,612954.7063492063,462694.7936507936,1075649.5
2020-03-08,347828.7956349207,305014.0932539682,652842.888888889
2020-03-09,576132.511904762,412188.01587301586,988320.5277777779
2020-03-10,517801.6746031746,423680.7003968254,941482.375
2020-03-11,604477.0555555556,433350.11111111107,1037827.1666666667
2020-03-12,635434.1011904763,454353.9682539683,1089788.0694444445
2020-03-13,632811.8095238095,416280.1765873016,1049091.986111111
2020-03-14,236661.84523809518,226322.90476190476,462984.74999999994
2020-03-15,146994.16666666666,173708.16666666663,320702.33333333326
2020-03-16,226869.98015873015,220400.75595238095,447270.7361111111
2020-03-17,213837.85515873018,221644.61706349204,435482.47222222225
2020-03-18,170810.7142857143,203825.41071428568,374636.125
2020-03-19,161401.46626984127,186775.1031746031,348176.5694444444
2020-03-20,149833.7063492063,175582.5992063492,325416.3055555555
2020-03-21,120339.70238095243,159936.33928571432,280276.04166666674
2020-03-22,108616.5515873016,155211.37896825394,263827.9305555555
2020-03-23,142987.47023809524,175326.16865079364,318313.6388888889
2020-03-24,143028.32142857142,189277.9702380952,332306.2916666666
2020-03-25,135391.29365079367,177868.4007936508,313259.6944444445
2020-03-26,134479.24206349207,173930.7301587301,308409.97222222213
2020-03-27,137976.64484126982,168197.98015873018,306174.625
2020-03-28,109805.79365079365,155940.9285714286,265746.72222222225
2020-03-29,103537.25198412698,154020.95634920642,257558.2083333334
2020-03-30,137940.64484126982,177760.17460317456,315700.8194444444
2020-03-31,136675.11904761902,176340.40873015873,313015.52777777775
2020-04-01,152403.22222222216,209619.33333333334,362022.5555555555
2020-04-02,143878.94642857142,193620.56746031743,337499.5138888889
2020-04-03,151051.507936508,196519.93650793645,347571.44444444444
2020-04-04,108701.54960317463,159988.95039682538,268690.5
2020-04-05,95582.72619047614,147628.73214285707,243211.4583333332
2020-04-06,147427.5952380952,178152.68253968254,325580.27777777775
2020-04-07,136872.3531746032,181236.6329365079,318108.9861111111
2020-04-08,135569.26587301586,177911.90079365083,313481.1666666667
2020-04-09,146378.81547619044,180572.2261904762,326951.0416666666
2020-04-10,111528.49404761905,152738.93650793657,264267.4305555556
2020-04-11,104520.52976190478,143368.27579365083,247888.80555555562
2020-04-12,100643.98809523806,145444.47023809527,246088.4583333333
2020-04-13,99738.49404761905,152957.70039682544,252696.1944444445
2020-04-14,141739.3333333333,181262.15277777778,323001.4861111111
2020-04-15,145253.17460317462,184300.86706349207,329554.0416666667
2020-04-16,142781.5734126984,185547.66269841266,328329.23611111107
2020-04-17,144575.14484126985,179271.1329365079,323846.27777777775
2020-04-18,115322.71626984127,169701.40873015867,285024.12499999994
2020-04-19,97121.63293650796,150191.0892857143,247312.72222222225
2020-04-20,152848.46626984124,194096.5337301587,346944.99999999994
2020-04-21,151519.0753968254,189456.71626984127,340975.7916666667
2020-04-22,161198.2837301587,207973.6746031746,369171.95833333326
2020-04-23,162385.246031746,203912.0873015873,366297.3333333333
2020-04-24,155099.36706349204,193905.9107142857,349005.27777777775
2020-04-25,114972.74603174606,170213.21230158725,285185.9583333333
2020-04-26,103307.97619047621,162290.3015873016,265598.2777777778
2020-04-27,156570.38293650796,186554.492063492,343124.875
2020-04-28,161160.76388888885,197291.2916666667,358452.0555555555
2020-04-29,167737.21230158728,198947.99603174604,366685.2083333333
2020-04-30,181600.54166666663,205261.5555555556,386862.09722222225
2020-05-01,127022.22420634922,181640.77579365074,308662.99999999994
2020-05-02,133494.40476190476,189580.7341269842,323075.138888889
2020-05-03,124795.42658730158,187169.40674603175,311964.8333333333
2020-05-04,204805.37896825396,232011.00992063485,436816.3888888888
2020-05-05,205611.1091269841,240399.36309523808,446010.4722222222
2020-05-06,211998.42658730157,242938.90674603175,454937.3333333333
2020-05-07,208681.97817460308,232402.16071428577,441084.1388888889
2020-05-08,210733.42063492053,231645.67658730166,442379.0972222222
2020-05-09,147392.6666666666,208352.01388888882,355744.6805555554
2020-05-10,115080.37896825396,178282.42658730157,293362.8055555555
2020-05-11,196537.95039682536,216705.57738095237,413243.52777777775
2020-05-12,207905.7837301587,219142.3134920635,427048.0972222222
2020-05-13,200747.78968253967,226124.15476190468,426871.9444444444
2020-05-14,186174.45436507938,216808.15674603172,402982.6111111111
2020-05-15,190922.11904761897,221121.56150793657,412043.6805555555
2020-05-16,138476.05555555556,189299.44444444447,327775.5
2020-05-17,123132.55555555555,177088.15277777778,300220.7083333333
2020-05-18,227658.9662698412,243777.78373015882,471436.75
2020-05-19,238982.94841269846,258616.5654761904,497599.5138888889
2020-05-20,231803.2063492063,247103.6964285714,478906.9027777777
2020-05-21,218594.4880952381,246257.99801587302,464852.4861111111
2020-05-22,217499.06944444438,235389.79166666672,452888.8611111111
2020-05-23,131688.97222222222,178318.2777777777,310007.2499999999
2020-05-24,101532.59920634922,151365.27579365086,252897.87500000006
2020-05-25,202352.92460317456,220595.68650793654,422948.6111111111
2020-05-26,218582.87301587305,232396.3492063491,450979.22222222213
2020-05-27,210099.5575396825,219920.81746031748,430020.375
2020-05-28,222428.06349206343,231248.82539682544,453676.8888888889
2020-05-29,239318.1011904762,250023.71825396823,489341.81944444444
2020-05-30,150157.32936507932,209015.2400793651,359172.5694444444
2020-05-31,119163.34126984129,186097.96428571423,305261.3055555555
2020-06-01,232840.40873015867,256625.35515873018,489465.7638888889
2020-06-02,408858.3035714286,397516.90476190473,806375.2083333333
2020-06-03,322278.3075396825,347271.9841269841,669550.2916666665
2020-06-04,331714.4642857144,340659.88293650775,672374.3472222221
2020-06-05,378939.64484126976,385810.3551587301,764749.9999999999
2020-06-06,249064.48611111115,285778.9444444444,534843.4305555555
2020-06-07,156604.44047619044,206651.92063492065,363256.3611111111
2020-06-08,354703.37896825396,346530.0793650793,701233.4583333333
2020-06-09,384130.65873015864,365315.46626984124,749446.1249999999
2020-06-10,379776.8253968252,365974.46626984136,745751.2916666665
2020-06-11,333420.21230158705,342142.9404761907,675563.1527777778
2020-06-12,371174.45238095237,369590.68650793645,740765.1388888888
2020-06-13,231712.34126984127,278144.2976190477,509856.638888889
2020-06-14,155334.58928571426,208298.84126984127,363633.4305555555
2020-06-15,343044.23809523793,337557.97023809544,680602.2083333334
2020-06-16,327084.58134920645,327829.01587301574,654913.5972222222
2020-06-17,357574.8432539681,347308.94841269846,704883.7916666665
2020-06-18,359589.14484126976,346948.60515873024,706537.75
2020-06-19,352713.74404761905,334432.7559523809,687146.5
2020-06-20,216398.39484126988,244899.11904761902,461297.5138888889
2020-06-21,152307.626984127,188857.58134920633,341165.2083333334
2020-06-22,360556.99801587296,339655.22420634923,700212.2222222222
2020-06-23,227992.98412698414,200413.40476190473,428406.3888888889
2020-06-24,66685.65277777777,85486.18055555558,152171.83333333334
2020-06-25,347035.5912698413,319739.03373015864,666774.625
2020-06-26,348692.9563492064,325031.39087301574,673724.3472222221
2020-06-27,162724.93849206358,146352.3392857142,309077.27777777775
2020-06-28,,,
2020-06-29,,,
2020-06-30,392501.492063492,369399.6051587302,761901.0972222222
2020-07-01,413637.90079365065,379250.40476190485,792888.3055555555
2020-07-02,333418.4206349206,259258.66269841272,592677.0833333333
2020-07-03,402014.62301587284,378219.7519841271,780234.375
2020-07-04,276629.9662698412,283175.39484126976,559805.361111111
2020-07-05,180908.15674603172,214571.5099206349,395479.6666666666
2020-07-06,386243.5515873016,339600.44841269834,725844.0
2020-07-07,419019.63492063497,365412.7123015873,784432.3472222222
2020-07-08,417482.753968254,364217.34325396817,781700.0972222222
2020-07-09,328507.53373015864,330805.1468253969,659312.6805555555
2020-07-10,276774.08928571426,315767.5218253969,592541.6111111112
2020-07-11,222643.25396825396,275200.0099206349,497843.2638888889
2020-07-12,153383.14484126985,221164.43849206343,374547.58333333326
2020-07-13,323709.3452380952,349295.7380952381,673005.0833333333
2020-07-14,302271.5714285714,335623.2757936507,637894.8472222221
2020-07-15,279179.1924603175,290447.32142857136,569626.5138888889
2020-07-16,307483.85119047615,329188.25992063485,636672.111111111
2020-07-17,288579.44841269846,315135.9543650793,603715.4027777778
2020-07-18,215755.38492063494,272626.3789682541,488381.763888889
2020-07-19,142652.42063492062,216259.7876984127,358912.2083333333
2020-07-20,268413.8015873017,296902.55952380935,565316.361111111
2020-07-21,,,
2020-07-22,,,
2020-07-23,,,
2020-07-24,,,
2020-07-25,,,
2020-07-26,,,
2020-07-27,,,
2020-07-28,279939.64682539686,387255.49206349207,667195.138888889
2020-07-29,374956.29166666657,501923.6944444442,876879.9861111108
2020-07-30,339413.84523809515,472094.80753968237,811508.6527777775
2020-07-31,311995.7003968254,424665.8551587301,736661.5555555555
2020-08-01,222826.3948412698,321176.5357142857,544002.9305555555
2020-08-02,170772.70039682536,268808.06349206355,439580.7638888889
2020-08-03,251764.78769841272,345054.7956349206,596819.5833333333
2020-08-04,393571.04761904763,473431.89682539675,867002.9444444444
2020-08-05,382730.53769841266,466979.1567460318,849709.6944444445
2020-08-06,287613.3789682539,364064.3432539684,651677.7222222222
2020-08-07,388569.5932539682,435386.05952380947,823955.6527777778
2020-08-08,278370.5198412698,349673.1884920635,628043.7083333333
2020-08-09,190764.52976190473,285446.5813492062,476211.11111111095
2020-08-10,381966.2202380952,417013.93253968237,798980.1527777775
2020-08-11,400427.4464285716,440664.13690476166,841091.5833333333
2020-08-12,394856.6607142857,423529.51984126976,818386.1805555555
2020-08-13,404719.9742063492,451877.45634920633,856597.4305555555
2020-08-14,388682.49007936503,435299.20436507935,823981.6944444444
2020-08-15,285097.9464285714,367242.5396825397,652340.4861111111
2020-08-16,139485.71230158734,262998.4821428571,402484.19444444444
2020-08-17,365657.378968254,416823.8293650793,782481.2083333333
2020-08-18,416287.48015873006,464277.75595238106,880565.2361111111
2020-08-19,413993.62301587296,484064.8492063492,898058.4722222221
2020-08-20,380051.28373015876,442897.7996031745,822949.0833333333
2020-08-21,257357.37698412695,393423.8035714287,650781.1805555556
2020-08-22,301548.386904762,357293.2519841269,658841.638888889
2020-08-23,223959.94246031746,286686.97420634923,510646.9166666667
2020-08-24,369252.5694444444,406639.31944444444,775891.8888888888
2020-08-25,382045.75595238095,420943.4523809523,802989.2083333333
2020-08-26,372993.3293650794,414523.9623015872,787517.2916666666
2020-08-27,351783.06944444444,381176.3194444445,732959.388888889
2020-08-28,365882.03571428574,398469.0892857142,764351.125
2020-08-29,271180.9642857143,315963.0496031745,587144.0138888888
2020-08-30,194971.92658730154,253420.62896825402,448392.55555555556
2020-08-31,211706.02976190473,279650.0257936509,491356.0555555556
2020-09-01,291803.5178571429,323371.9265873016,615175.4444444445
2020-09-02,320252.1448412699,345398.20238095213,665650.347222222
2020-09-03,345116.126984127,371599.9563492063,716716.0833333333
2020-09-04,355251.9841269841,386754.16865079367,742006.1527777778
2020-09-05,277290.61706349207,327308.7162698412,604599.3333333333
2020-09-06,182796.47222222225,241558.00000000003,424354.47222222225
2020-09-07,293274.3769841268,319543.09523809527,612817.472222222
2020-09-08,126368.7857142857,212726.78373015867,339095.5694444444
2020-09-09,376585.60515873024,392210.1448412697,768795.75
2020-09-10,394729.05555555556,429991.0,824720.0555555555
2020-09-11,491134.63293650816,539171.4365079362,1030306.0694444444
2020-09-12,365569.25793650793,422536.2142857144,788105.4722222222
2020-09-13,229590.5337301588,303923.7162698413,533514.2500000001
2020-09-14,329455.6011904762,365881.5376984126,695337.1388888888
2020-09-15,334101.1349206349,378389.9761904762,712491.1111111111
2020-09-16,200257.52777777775,195090.18055555556,395347.7083333333
2020-09-17,486834.42261904763,289739.49404761905,776573.9166666667
2020-09-18,449097.4543650793,288879.2261904762,737976.6805555555
2020-09-19,433259.4603174603,253528.41468253967,686787.875
2020-09-20,289034.0575396825,210920.40079365077,499954.45833333326
2020-09-21,402870.37301587313,233843.2380952381,636713.6111111112
2020-09-22,423368.5535714284,275326.6964285715,698695.2499999999
2020-09-23,471196.6765873017,282836.7261904762,754033.402777778
2020-09-24,460974.78769841255,284087.39285714284,745062.1805555554
2020-09-25,455037.1726190476,284354.88293650805,739392.0555555556
2020-09-26,395071.4999999998,280008.6805555556,675080.1805555555
2020-09-27,281562.6587301588,215404.73015873018,496967.388888889
2020-09-28,416498.8075396826,233001.15079365077,649499.9583333334
2020-09-29,448806.4900793651,286340.70436507935,735147.1944444445
2020-09-30,477119.1805555555,280717.388888889,757836.5694444445
2020-10-01,,,
2020-10-02,,,
2020-10-03,,,
2020-10-04,,,
2020-10-05,,,
2020-10-06,,,
2020-10-07,474528.5595238097,267607.5932539682,742136.152777778
2020-10-08,498686.255952381,276282.21626984136,774968.4722222224
2020-10-09,537957.640873016,314629.0813492064,852586.7222222224
2020-10-10,504822.1408730156,347159.48412698414,851981.6249999998
2020-10-11,450477.28373015864,331950.6468253969,782427.9305555555
2020-10-12,514026.4464285715,346889.5535714286,860916.0
2020-10-13,490961.3432539683,239362.11507936503,730323.4583333333
2020-10-14,422601.982142857,229990.5873015872,652592.5694444441
2020-10-15,407056.18849206343,224146.70039682533,631202.8888888888
2020-10-16,466760.44246031746,255179.71031746024,721940.1527777778
2020-10-17,394770.44047619036,240564.6428571428,635335.0833333331
2020-10-18,294246.7539682539,179615.25992063485,473862.01388888876
2020-10-19,463916.48412698414,222819.96031746033,686736.4444444445
2020-10-20,449149.44444444455,248620.59722222225,697770.0416666667
2020-10-21,488849.0376984126,222842.51785714287,711691.5555555555
2020-10-22,407177.27380952385,249198.7261904761,656376.0
2020-10-23,504378.5952380953,254747.36309523816,759125.9583333335
2020-10-24,445826.8511904763,243998.63492063494,689825.4861111112
2020-10-25,282681.62103174604,157272.51785714287,439954.1388888889
2020-10-26,410004.19642857136,232190.49801587305,642194.6944444444
2020-10-27,440402.9603174603,226198.63690476192,666601.5972222222
2020-10-28,456802.2063492063,226626.61309523805,683428.8194444443
2020-10-29,436987.6587301586,236744.06349206352,673731.7222222221
