date,entrance_Andorran,entrance_Spanish,entrance_French,entrance_British,entrance_Other,departures_Andorran,departures_Spanish,departures_French,departures_British,departures_Other
2019-03-01,0,0,0,0,0,0,0,0,0,0
2019-03-02,0,0,0,0,0,192,8387,8690,791,3434
2019-03-03,0,0,0,0,0,338,13432,7510,1598,2761
2019-03-04,0,0,0,0,0,195,8373,3275,367,1251
2019-03-05,0,0,0,0,0,187,4783,3418,157,1461
2019-03-06,0,0,0,0,0,195,2243,4216,150,1891
2019-03-07,0,0,0,0,0,194,2088,3857,206,1385
2019-03-08,0,0,0,0,0,253,3576,4682,303,2827
2019-03-09,0,0,0,0,0,194,7270,8353,556,5069
2019-03-10,0,0,0,0,0,317,12088,7886,1624,2542
2019-03-11,0,0,0,0,0,241,2694,2268,288,849
2019-03-12,0,0,0,0,0,164,1934,1998,226,889
2019-03-13,0,0,0,0,0,213,2129,1955,179,1040
2019-03-14,0,0,0,0,0,170,1671,1410,154,824
2019-03-15,0,0,0,0,0,246,3422,3150,256,1445
2019-03-16,208,11403,6934,322,2045,187,7048,6566,532,2541
2019-03-17,157,4811,4458,1247,2115,491,12334,8301,1560,3627
2019-03-18,202,1979,1273,237,1073,70,2088,942,119,510
2019-03-19,188,1997,1190,114,598,240,6556,1243,220,1032
2019-03-20,190,1978,1455,156,993,190,2090,1424,157,755
2019-03-21,180,2201,1819,330,1106,231,2018,1657,159,844
2019-03-22,289,5961,3676,248,1086,219,3780,2560,328,1276
2019-03-23,59,3625,2235,52,439,192,3840,2633,1251,2786
2019-03-24,230,6671,4436,1071,2321,192,9302,6035,388,1555
2019-03-25,242,2017,1477,225,831,184,2374,1770,263,884
2019-03-26,126,1177,877,100,433,153,1515,997,153,586
2019-03-27,183,1637,1226,146,507,170,1692,1227,146,766
2019-03-28,163,1545,1217,177,755,188,1496,1212,112,558
2019-03-29,287,5294,3682,179,931,212,2967,1862,227,980
2019-03-30,201,7945,5431,212,1089,170,5462,4512,311,1487
2019-03-31,178,3067,4255,634,970,300,9177,7312,880,1668
2019-04-01,225,1537,1628,142,604,244,1791,1733,138,568
2019-04-02,201,1413,1340,135,452,205,1307,1309,124,499
2019-04-03,207,1551,929,130,534,194,1482,959,124,543
2019-04-04,202,1738,1328,178,655,199,1542,1333,102,547
2019-04-05,348,4058,2165,171,690,264,1698,1532,256,664
2019-04-06,236,6214,4702,967,3117,181,4085,3774,280,1022
2019-04-07,163,3106,4069,1747,2917,347,7183,5089,641,1409
2019-04-08,197,1819,1985,259,868,294,1667,1765,173,684
2019-04-09,181,1654,1634,164,569,235,1588,1621,197,635
2019-04-10,152,1516,1447,152,636,269,1749,1425,166,661
2019-04-11,192,1991,1462,138,711,280,1929,1555,321,824
2019-04-12,264,5580,2619,180,1077,629,2482,2223,1554,3209
