date,entrance_Andorran,entrance_Spanish,entrance_French,entrance_British,entrance_Other,departures_Andorran,departures_Spanish,departures_French,departures_British,departures_Other
2019-03-01,0,0,0,0,0,0,0,0,0,0
2019-03-02,0,0,0,0,0,380,8831,8983,794,3510
2019-03-03,0,0,0,0,0,587,14222,7809,1607,2872
2019-03-04,0,0,0,0,0,369,8827,3402,369,1311
2019-03-05,0,0,0,0,0,313,5063,3556,163,1524
2019-03-06,0,0,0,0,0,358,2473,4333,152,1942
2019-03-07,0,0,0,0,0,336,2337,3997,208,1435
2019-03-08,0,0,0,0,0,488,3910,4851,308,2888
2019-03-09,363,10002,8772,435,2490,354,7743,8607,569,5144
2019-03-10,364,4836,6035,1340,2754,558,12818,8104,1630,2652
2019-03-11,465,2684,2535,210,1198,409,2938,2366,295,899
2019-03-12,336,2214,2095,124,943,351,2188,2106,231,958
2019-03-13,306,2497,1992,233,1104,437,2455,2057,186,1110
2019-03-14,276,2662,1989,361,1023,302,1819,1480,159,870
2019-03-15,823,10275,4518,342,1626,433,3711,3280,262,1508
2019-03-16,368,12150,7252,330,2142,323,7423,6738,538,2601
2019-03-17,358,5187,4710,1252,2185,943,13262,8650,1573,3783
2019-03-18,406,2196,1352,246,1126,147,2236,1002,119,538
2019-03-19,379,2287,1274,117,649,383,6805,1304,228,1085
2019-03-20,382,2241,1592,164,1055,351,2335,1512,160,806
2019-03-21,355,2503,1942,338,1173,391,2297,1772,166,899
2019-03-22,533,6585,3852,255,1174,481,4163,2712,333,1366
2019-03-23,114,3963,2332,54,487,406,4155,2732,1254,2845
2019-03-24,576,7203,4651,1082,2428,441,10022,6272,396,1671
2019-03-25,459,2274,1614,231,896,379,2649,1872,266,944
2019-03-26,220,1338,940,103,469,279,1706,1074,158,626
2019-03-27,346,1852,1315,151,549,298,1896,1307,150,806
2019-03-28,292,1755,1313,180,810,323,1667,1296,116,610
2019-03-29,581,5923,3869,184,1021,422,3254,1971,231,1048
2019-03-30,401,8490,5629,215,1172,313,5885,4682,316,1554
2019-03-31,374,3400,4422,642,1042,558,9871,7600,885,1778
2019-04-01,429,1822,1730,148,675,447,2034,1870,143,620
2019-04-02,370,1651,1430,139,503,364,1560,1422,128,554
2019-04-03,352,1796,1014,136,595,344,1732,1044,128,591
2019-04-04,329,1950,1438,183,713,359,1783,1465,106,593
2019-04-05,647,4587,2284,177,774,540,2018,1657,266,721
2019-04-06,393,6642,4879,972,3186,324,4555,3970,283,1093
2019-04-07,348,3457,4260,1753,2998,664,8053,5343,648,1519
2019-04-08,405,2070,2123,264,924,482,1907,1885,180,734
2019-04-09,345,1885,1739,167,625,345,1747,1724,201,673
2019-04-10,312,1764,1553,159,681,388,1933,1524,173,713
2019-04-11,340,2262,1550,142,769,509,2180,1657,324,877
2019-04-12,564,6143,2790,183,1159,1413,2841,2378,1556,3290
2019-04-13,408,9601,6639,254,1796,1204,5277,5880,640,2410
2019-04-14,363,6059,4893,259,2386,763,7720,6199,588,1553
2019-04-15,505,5660,2624,130,1089,769,4431,2438,153,969
2019-04-16,399,4354,2242,134,1104,739,4644,2196,167,1101
2019-04-17,366,7177,2390,140,1232,760,6537,2538,129,1210
2019-04-18,387,12797,2249,124,1500,1424,7060,2494,162,1568
2019-04-19,277,14622,2888,174,1649,914,9671,2529,319,1949
2019-04-20,338,10940,6287,104,1665,605,13207,4862,204,2437
2019-04-21,486,6782,5110,83,1191,692,15430,5575,203,1954
2019-04-22,967,3114,3343,80,1070,717,11011,4653,146,1662
2019-04-23,937,2115,2792,75,985,674,2847,2573,76,968
2019-04-24,676,2099,2410,69,924,612,1821,2352,99,929
2019-04-25,653,2170,2446,90,1073,590,2086,2587,83,932
2019-04-26,779,5393,2900,72,1176,722,2374,2860,86,1109
2019-04-27,952,5885,4776,79,1567,536,4307,4382,77,1396
2019-04-28,1675,2628,2731,68,1057,564,6908,3300,93,1478
2019-04-29,967,2038,1768,63,1313,547,2820,1560,60,1284
2019-04-30,549,2032,1534,52,882,714,2089,1723,46,950
2019-05-01,395,4106,1992,68,956,478,4083,2054,60,1006
2019-05-02,468,2385,1821,70,868,578,2013,1690,70,825
2019-05-03,514,3470,1762,80,978,594,2149,1454,71,919
2019-05-04,345,5738,2343,63,911,484,4457,2158,56,933
2019-05-05,406,2197,1800,53,769,612,6253,2663,66,1078
