date,all,tourists,non-tourists
2019-03-01,276346,213044,63302
2019-03-02,276346,213044,63302
2019-03-03,254852,191605,63247
2019-03-04,229213,166012,63201
2019-03-05,215752,152590,63162
2019-03-06,205746,142619,63127
2019-03-07,197051,133964,63087
2019-03-08,189321,126273,63048
2019-03-09,177680,114700,62980
2019-03-10,156238,93295,62943
2019-03-11,131781,68904,62877
2019-03-12,125441,62637,62804
2019-03-13,120230,57471,62759
2019-03-14,114714,52025,62689
2019-03-15,110485,47860,62625
2019-03-16,122878,60251,62627
2019-03-17,118792,56144,62648
2019-03-18,97243,34592,62651
2019-03-19,97601,34868,62733
2019-03-20,93082,30289,62793
2019-03-21,94102,31265,62837
2019-03-22,100453,37566,62887
2019-03-23,98700,35849,62851
2019-03-24,102727,39810,62917
2019-03-25,90047,27034,63013
2019-03-26,87285,24236,63049
2019-03-27,87580,24460,63120
2019-03-28,87436,24279,63157
2019-03-29,94243,31029,63214
2019-03-30,102873,39619,63254
2019-03-31,100035,36696,63339
2019-04-01,84834,21414,63420
2019-04-02,83901,20439,63462
2019-04-03,83808,20283,63525
2019-04-04,84607,21058,63549
2019-04-05,88316,24710,63606
2019-04-06,99138,35572,63566
2019-04-07,101798,38215,63583
2019-04-08,92257,28620,63637
2019-04-09,91876,28230,63646
2019-04-10,91503,27852,63651
2019-04-11,91727,28111,63616
2019-04-12,96538,33023,63515
2019-04-13,104126,41100,63026
2019-04-14,103324,40637,62687
2019-04-15,96923,34314,62609
2019-04-16,96763,34197,62566
2019-04-17,99580,37011,62569
2019-04-18,105719,43154,62565
2019-04-19,113599,51136,62463
2019-04-20,117847,55421,62426
2019-04-21,110110,47693,62417
2019-04-22,94287,31858,62429
2019-04-23,82468,20019,62449
2019-04-24,80961,18652,62309
2019-04-25,81074,18988,62086
2019-04-26,84594,22647,61947
2019-04-27,90117,28218,61899
2019-04-28,86494,24288,62206
2019-04-29,80023,17652,62371
2019-04-30,78706,16418,62288
2019-05-01,80744,18685,62059
2019-05-02,78611,16685,61926
2019-05-03,80105,18384,61721
2019-05-04,84345,22757,61588
2019-05-05,81426,19919,61507
2019-05-06,75030,13546,61484
2019-05-07,74968,13583,61385
2019-05-08,76064,14753,61311
2019-05-09,75093,13903,61190
2019-05-10,76444,15328,61116
2019-05-11,81408,20390,61018
2019-05-12,79755,18765,60990
2019-05-13,75088,14118,60970
2019-05-14,74207,13283,60924
2019-05-15,74406,13516,60890
2019-05-16,75294,14465,60829
2019-05-17,77136,16376,60760
2019-05-18,81966,21306,60660
2019-05-19,81393,20717,60676
2019-05-20,76746,16023,60723
2019-05-21,76546,15861,60685
2019-05-22,77382,16702,60680
2019-05-23,77730,17088,60642
2019-05-24,80314,19687,60627
2019-05-25,85648,25066,60582
2019-05-26,83351,22732,60619
2019-05-27,77198,16545,60653
2019-05-28,77982,17283,60699
2019-05-29,79272,18511,60761
2019-05-30,87054,26256,60798
2019-05-31,90029,29205,60824
2019-06-01,92863,32053,60810
2019-06-02,88816,27928,60888
2019-06-03,79021,18059,60962
2019-06-04,79639,18646,60993
2019-06-05,80099,19088,61011
2019-06-06,80320,19363,60957
2019-06-07,71448,11043,60405
2019-06-08,71448,11043,60405
2019-06-09,71448,11043,60405
2019-06-10,71448,11043,60405
2019-06-11,71448,11043,60405
2019-06-12,81085,20375,60710
2019-06-13,81615,20994,60621
2019-06-14,86058,25521,60537
2019-06-15,93270,32967,60303
2019-06-16,90083,29984,60099
2019-06-17,81288,21331,59957
2019-06-18,80455,20606,59849
2019-06-19,85548,25651,59897
2019-06-20,91242,31289,59953
2019-06-21,99709,39690,60019
2019-06-22,116343,56276,60067
2019-06-23,126907,66797,60110
2019-06-24,133378,73214,60164
2019-06-25,139628,79355,60273
2019-06-26,145881,85499,60382
2019-06-27,151903,91462,60441
2019-06-28,162052,101504,60548
2019-06-29,177125,116439,60686
2019-06-30,186926,125976,60950
