date,trips between parishes,users making trips between parishes,users making trips,total trips,users present,entrances,stay home users,portion of users staying home,fraction of people not staying home,trips between parishes from La Massana,trips between parishes from Sant Julià de Lòria,90th percentile trips,indoor interaction potential,outdoor interaction potential,interaction potential
2020-03-02,165026,106774,70640,573065,102190.0,24480.0,15114,0.21086556169429096,0.7891344383057091,19652,13756,16.0,685724.9583333331,482541.625,1168266.583333333
2020-03-03,162651,103525,67786,573473,98733.0,4476.0,15496,0.21846275305926804,0.781537246940732,19194,13246,16.0,646108.4464285711,471608.3452380952,1117716.7916666665
2020-03-04,161056,104600,67110,542712,98632.0,4705.0,15757,0.22169851141064242,0.7783014885893575,18831,13313,16.0,625221.5436507933,447730.16468253953,1072951.7083333328
2020-03-05,171298,109685,68958,583466,99691.0,5936.0,15373,0.21512433355256713,0.7848756664474329,19953,14080,16.0,665747.2301587302,478777.76984126976,1144525.0
2020-03-06,179249,115252,72300,594470,104183.0,10524.0,15422,0.20693449266027963,0.7930655073397204,20673,15661,16.0,713956.2936507935,498722.3035714286,1212678.597222222
2020-03-07,153195,98315,70909,551307,110584.0,15299.0,20158,0.26501018865444026,0.7349898113455597,17797,12900,15.0,612954.7063492063,462694.7936507936,1075649.5
2020-03-08,123084,82911,65394,453150,108397.0,12082.0,22012,0.29381457059718624,0.7061854294028138,14600,9727,12.0,347828.7956349207,305014.0932539682,652842.888888889
2020-03-09,157824,101521,65638,531454,92934.0,6473.0,14705,0.21266595320047435,0.7873340467995257,18455,13646,16.0,576132.511904762,412188.0158730159,988320.527777778
2020-03-10,160725,110758,63290,520117,91646.0,4019.0,15580,0.22785772785772787,0.7721422721422722,18852,13705,16.0,517801.6746031746,423680.7003968254,941482.375
2020-03-11,167504,109773,67395,552604,92510.0,5629.0,13578,0.19846524884893663,0.8015347511510633,19540,13780,16.0,604477.0555555556,433350.11111111107,1037827.1666666669
2020-03-12,170969,109789,67720,572964,91197.0,5079.0,12958,0.18974404029754582,0.8102559597024541,19879,14571,17.0,635434.1011904763,454353.9682539683,1089788.0694444443
2020-03-13,162158,102174,67646,572985,89320.0,5849.0,11847,0.17504949909867312,0.8249505009013269,18568,14617,17.0,632811.8095238096,416280.17658730154,1049091.986111111
2020-03-14,77809,48161,47316,373072,79715.0,3555.0,19783,0.3119117067402444,0.6880882932597556,9494,5842,14.0,236661.8452380952,226322.9047619048,462984.75
2020-03-15,52279,31579,37885,299114,71180.0,1354.0,22178,0.3758473427331887,0.6241526572668112,6395,2780,14.0,146994.16666666663,173708.16666666663,320702.33333333326
2020-03-16,84635,47643,43138,376943,67367.0,513.0,16633,0.2925255012310939,0.7074744987689061,10006,6525,17.0,226869.98015873012,220400.75595238095,447270.73611111107
2020-03-17,75700,44327,41616,354336,65803.0,363.0,16934,0.3023388680592751,0.6976611319407249,9112,5638,16.0,213837.85515873015,221644.61706349204,435482.47222222225
2020-03-18,55990,32063,37505,310592,64400.0,249.0,19034,0.3443322840913202,0.6556677159086798,6619,3472,15.0,170810.7142857143,203825.41071428565,374636.125
2020-03-19,52387,30516,36761,299373,63695.0,238.0,19246,0.35102502371051286,0.6489749762894872,6374,3055,15.0,161401.46626984127,186775.10317460308,348176.56944444444
2020-03-20,47967,27838,35402,287733,63142.0,227.0,20023,0.3674282044224241,0.6325717955775759,5685,2747,15.0,149833.7063492063,175582.5992063492,325416.3055555555
2020-03-21,34114,18911,30373,241850,62570.0,123.0,23753,0.43857899887368673,0.5614210011263132,3948,1467,13.0,120339.70238095244,159936.33928571432,280276.04166666674
2020-03-22,29178,16064,28339,225687,62284.0,137.0,25231,0.46748313940561775,0.5325168605943822,3231,1082,12.0,108616.5515873016,155211.37896825394,263827.9305555555
2020-03-23,43168,23848,33827,271570,62114.0,213.0,20803,0.3863210087466805,0.6136789912533195,4877,2264,14.0,142987.47023809527,175326.16865079364,318313.63888888893
2020-03-24,44265,24683,34160,279100,61749.0,181.0,20230,0.3774324147838579,0.6225675852161421,5257,2247,15.0,143028.32142857142,189277.9702380952,332306.2916666666
2020-03-25,39679,22271,32785,261535,61415.0,205.0,21117,0.3955827807125998,0.6044172192874002,4497,1964,14.0,135391.29365079367,177868.40079365077,313259.6944444445
2020-03-26,42150,23804,33237,267820,61174.0,226.0,20585,0.3868924557380747,0.6131075442619254,4711,2030,14.0,134479.24206349207,173930.7301587301,308409.97222222213
