,entrance_Andorran,entrance_Spanish,entrance_French,entrance_British,entrance_Other,departures_Andorran,departures_Spanish,departures_French,departures_British,departures_Other
2020-01-01,0,0,0,0,0,255,9104,3114,400,2134
2020-01-02,0,0,0,0,0,353,11011,7293,574,2959
2020-01-03,0,0,0,0,0,365,11053,5471,678,3003
2020-01-04,0,0,0,0,0,348,13816,5148,954,3316
2020-01-05,0,0,0,0,0,421,12818,3776,664,2577
2020-01-06,0,0,0,0,0,458,8697,1395,211,1835
2020-01-07,0,0,0,0,0,386,3801,1275,158,1405
2020-01-08,0,0,0,0,0,261,2416,1247,148,1405
2020-01-09,0,0,0,0,0,249,2504,1474,168,1321
2020-01-10,0,0,0,0,0,281,3128,1188,291,1952
2020-01-11,0,0,0,0,0,230,7385,3391,723,2417
2020-01-12,0,0,0,0,0,279,10072,5540,508,1992
2020-01-13,0,0,0,0,0,229,2354,1155,170,863
2020-01-14,0,0,0,0,0,256,2010,1093,102,894
2020-01-15,280,2160,1196,154,821,231,2125,1311,120,929
2020-01-16,271,2360,1593,170,831,267,2503,1411,196,863
2020-01-17,281,6746,2663,204,1133,260,4675,1296,237,1411
2020-01-18,243,9343,3976,419,2459,231,6849,2906,689,1879
2020-01-19,153,5355,2128,919,2060,211,9682,4714,577,1876
2020-01-20,273,2756,800,438,1067,198,2702,921,163,794
2020-01-21,231,1835,468,194,706,142,1535,460,112,632
2020-01-22,270,2303,558,244,875,186,1630,508,164,814
2020-01-23,241,2800,759,352,1071,184,2057,512,210,731
2020-01-24,379,8776,2927,342,1643,276,5262,1254,544,1675
2020-01-25,345,10917,4079,447,3082,205,7828,2789,858,2509
2020-01-26,241,7991,3723,1059,2782,341,13389,5996,801,2543
2020-01-27,317,4027,1500,458,1331,237,3876,1545,286,1037
2020-01-28,289,2803,1211,217,861,219,2740,1069,206,1010
2020-01-29,267,2656,1313,152,1009,226,2532,1273,166,1005
2020-01-30,261,3261,1705,296,1195,215,3261,1523,214,1131
2020-01-31,356,8253,3799,306,1673,350,6258,2131,388,2082
2020-02-01,296,11631,6062,539,4189,265,9423,4606,846,3178
2020-02-02,198,6857,3946,1220,2980,430,14011,6528,798,2688
2020-02-03,311,3536,1957,461,1582,202,3472,2073,288,1117
2020-02-04,241,2377,1610,184,979,186,2442,1673,215,966
2020-02-05,246,2483,1630,278,1095,194,2336,1599,217,1061
2020-02-06,246,2941,1672,332,1164,225,2760,1902,276,1266
2020-02-07,317,8226,2852,300,1543,242,4959,2404,433,2354
2020-02-08,259,11270,6787,531,2936,243,8711,4714,901,3896
2020-02-09,168,5595,6238,1056,2828,432,13516,5850,958,2611
2020-02-10,249,2796,3289,565,1494,255,2874,2468,354,1110
2020-02-11,231,2023,2336,212,940,232,2206,2424,320,1252
2020-02-12,242,2207,2538,230,1237,475,3326,3653,889,3497
2020-02-13,98,1606,1470,160,433,720,5056,6643,1297,3521
