date,tourists,non-tourists,all
2020-01-01,205002,66110,271112
2020-01-02,190105,66000,256105
2020-01-03,168056,65859,233915
2020-01-04,147674,65671,213345
2020-01-05,124287,65476,189763
2020-01-06,104263,65244,169507
2020-01-07,91963,64948,156911
2020-01-08,85166,64720,149886
2020-01-09,79826,64583,144409
2020-01-10,74255,64438,138693
2020-01-11,67567,64286,131853
2020-01-12,53535,64172,117707
2020-01-13,35322,63994,99316
2020-01-14,30690,63855,94545
2020-01-15,30910,63891,94801
2020-01-16,31328,63982,95310
2020-01-17,37036,64061,101097
2020-01-18,45573,64085,109658
2020-01-19,43599,64120,107719
2020-01-20,31825,64168,95993
2020-01-21,30417,64232,94649
2020-01-22,31708,64310,96018
2020-01-23,33566,64373,97939
2020-01-24,43763,64549,108312
2020-01-25,53573,64598,118171
2020-01-26,55126,64652,119778
2020-01-27,39672,64669,104341
2020-01-28,38006,64735,102741
2020-01-29,38101,64793,102894
2020-01-30,39515,64895,104410
2020-01-31,47430,65023,112453
2020-02-01,58911,65050,123961
2020-02-02,55753,65091,120844
2020-02-03,39217,65019,104236
2020-02-04,37407,65068,102475
2020-02-05,37550,65175,102725
2020-02-06,38404,65269,103673
2020-02-07,45067,65415,110482
2020-02-08,56395,65478,121873
2020-02-09,53767,65526,119293
2020-02-10,38861,65458,104319
2020-02-11,37513,65487,103000
2020-02-12,37480,65540,103020
2020-02-13,29527,65420,94947
2020-02-14,12559,65151,77710
2020-02-15,12559,65151,77710
2020-02-16,12559,65151,77710
2020-02-17,12559,65151,77710
2020-02-18,12559,65151,77710
2020-02-19,12559,65151,77710
2020-02-20,12559,65151,77710
2020-02-21,12559,65151,77710
2020-02-22,12559,65151,77710
2020-02-23,12559,65151,77710
2020-02-24,12559,65151,77710
2020-02-25,12559,65151,77710
2020-02-26,12559,65151,77710
2020-02-27,12559,65151,77710
2020-02-28,12559,65151,77710
2020-02-29,12559,65151,77710
2020-03-01,12559,65151,77710
2020-03-02,35990,66200,102190
2020-03-03,32408,66325,98733
2020-03-04,32265,66367,98632
2020-03-05,33271,66420,99691
2020-03-06,37585,66598,104183
2020-03-07,43978,66606,110584
2020-03-08,41856,66541,108397
2020-03-09,26469,66465,92934
2020-03-10,25296,66350,91646
2020-03-11,26268,66242,92510
2020-03-12,25102,66095,91197
2020-03-13,23688,65632,89320
2020-03-14,15755,63960,79715
2020-03-15,7828,63352,71180
2020-03-16,4417,62950,67367
2020-03-17,3658,62145,65803
2020-03-18,3172,61228,64400
2020-03-19,2948,60747,63695
2020-03-20,2790,60352,63142
2020-03-21,2607,59963,62570
2020-03-22,2528,59756,62284
2020-03-23,2532,59582,62114
2020-03-24,2445,59304,61749
2020-03-25,2326,59089,61415
2020-03-26,2278,58896,61174
2020-03-27,2281,58776,61057
2020-03-28,2185,58582,60767
2020-03-29,2163,58463,60626
2020-03-30,2168,58512,60680
2020-03-31,2167,58464,60631
2020-04-01,2165,58462,60627
2020-04-02,2177,58433,60610
2020-04-03,2158,58495,60653
2020-04-04,2078,58328,60406
2020-04-05,2040,58279,60319
2020-04-06,2137,58514,60651
2020-04-07,2082,58402,60484
2020-04-08,2102,58423,60525
2020-04-09,2091,58502,60593
2020-04-10,2023,58414,60437
2020-04-11,2003,58435,60438
2020-04-12,1990,58446,60436
2020-04-13,2007,58509,60516
2020-04-14,2059,58756,60815
2020-04-15,2089,58935,61024
2020-04-16,2080,59136,61216
2020-04-17,2141,59410,61551
2020-04-18,2103,59508,61611
