date,all,tourists,non-tourists
2020-01-01,208400,145210,63190
2020-01-02,192702,129830,62872
2020-01-03,169562,107097,62465
2020-01-04,147884,85922,61962
2020-01-05,123123,61613,61510
2020-01-06,101675,40686,60989
2020-01-07,88256,27828,60428
2020-01-08,87813,26761,61052
2020-01-09,88111,26810,61301
2020-01-10,92373,30857,61516
2020-01-11,102786,41208,61578
2020-01-12,100336,38715,61621
2020-01-13,87197,25475,61722
2020-01-14,86759,24989,61770
2020-01-15,87102,25299,61803
2020-01-16,87680,25784,61896
2020-01-17,93714,31675,62039
2020-01-18,102691,40701,61990
2020-01-19,100228,38217,62011
2020-01-20,87767,25733,62034
2020-01-21,86207,24182,62025
2020-01-22,87607,25478,62129
2020-01-23,89719,27493,62226
2020-01-24,100826,38378,62448
2020-01-25,111276,48831,62445
2020-01-26,112597,50106,62491
2020-01-27,96071,33599,62472
2020-01-28,94401,31871,62530
2020-01-29,94511,31869,62642
2020-01-30,96017,33254,62763
2020-01-31,104518,41511,63007
2020-02-01,116533,53564,62969
2020-02-02,113230,50219,63011
2020-02-03,96350,33416,62934
2020-02-04,94416,31520,62896
2020-02-05,94649,31707,62942
2020-02-06,95611,32619,62992
2020-02-07,103019,39818,63201
2020-02-08,114963,51889,63074
2020-02-09,111937,48811,63126
2020-02-10,95352,32469,62883
2020-02-11,93939,31043,62896
2020-02-12,94069,31091,62978
2020-02-13,85330,22783,62547
2020-02-14,67113,5405,61708
2020-02-15,67113,5405,61708
2020-02-16,67113,5405,61708
2020-02-17,67113,5405,61708
2020-02-18,67113,5405,61708
2020-02-19,67113,5405,61708
2020-02-20,67113,5405,61708
2020-02-21,67113,5405,61708
2020-02-22,67113,5405,61708
2020-02-23,67113,5405,61708
2020-02-24,67113,5405,61708
2020-02-25,67113,5405,61708
2020-02-26,67113,5405,61708
2020-02-27,67113,5405,61708
2020-02-28,67113,5405,61708
2020-02-29,67113,5405,61708
2020-03-01,67113,5405,61708
2020-03-02,93207,29638,63569
2020-03-03,89721,26109,63612
2020-03-04,89616,26013,63603
2020-03-05,90902,27254,63648
2020-03-06,96536,32492,64044
2020-03-07,104229,40143,64086
2020-03-08,102917,38846,64071
2020-03-09,88055,23865,64190
2020-03-10,87360,23079,64281
2020-03-11,88913,24537,64376
2020-03-12,88146,23785,64361
2020-03-13,86631,22657,63974
2020-03-14,76593,14777,61816
2020-03-15,67847,6896,60951
2020-03-16,63925,3522,60403
